family,group,n,regime,best_rival,gap,half_width,best_rival_incl_hidden,gap_incl_hidden
RouterEval,all_weak,100,beta0,knn_router_online,-0.03760000000000002,0.015388892910147901,knn_router_online,-0.03760000000000002
RouterEval,all_weak,100,beta05_random,knn_router_online,-0.03739999999999999,0.012762444906835039,knn_router_online,-0.03739999999999999
RouterEval,all_strong,1000,beta025_cartel,linucb_honest,-0.03639999999999988,0.021627066375262405,linucb_honest,-0.03639999999999988
live,bimodal,1000,beta025_random,verify_on_claim,-0.035599999999999854,0.011303589100922745,sequential_halving,-0.035599999999999854
RouterEval,all_strong,100,beta0,declared_argmax,-0.03399999999999981,0.013775340286178024,declared_argmax,-0.03399999999999981
RouterBench replay,all shapes pooled,10000,beta0,verify_on_claim,-0.0325333333333333,0.0011389491469128365,sequential_halving_peer,-0.03432400000000002
live,bimodal,1000,beta01_random,verify_on_claim,-0.03090000000000004,0.013175071157303105,sequential_halving,-0.031299999999999994
RouterEval,all_strong,1000,beta05_random,linucb_honest,-0.030200000000000005,0.01716770223413724,linucb_honest,-0.030200000000000005
live,bimodal,1000,beta025_cartel,llm_supervisor,-0.030199999999999894,0.014022713940247067,llm_supervisor,-0.030199999999999894
live,heavy_tail,1000,beta025_random,warm_start_bandit,-0.02959999999999996,0.012992786460186267,sequential_halving,-0.06899999999999995
RouterBench replay,all shapes pooled,100000,beta0,verify_on_claim,-0.029420000000000113,0.0024884814616165083,sequential_halving_peer,-0.030843333333333556
live,bimodal,1000,cartel,llm_supervisor,-0.028750000000000053,0.011850248151410166,sequential_halving,-0.02969999999999995
live,bimodal,1000,beta05_random,verify_on_claim,-0.027599999999999958,0.014200352108310488,sequential_halving,-0.027799999999999936
RouterEval,all_strong,1000,cartel,linucb_honest,-0.02739999999999987,0.014340502083260553,linucb_honest,-0.02739999999999987
RouterBench replay,all shapes pooled,1000000,beta0,cluster_head_router,-0.026710000000000123,0.0038404430501156835,sequential_halving_peer,-0.028303333333333458
live,bimodal,1000,beta0,cluster_head_router,-0.026100000000000012,0.01230690862889611,cluster_head_router,-0.026100000000000012
live,bimodal,100,beta0,declared_argmax,-0.024433333333333085,0.011141163048017001,declared_argmax,-0.024433333333333085
LLMRouterBench,20 models,20,beta025_random,mlp_router,-0.023400000000000087,0.024860008045050952,mlp_router,-0.023400000000000087
live,heavy_tail,100,beta01_random,flat_probe_argmax_online,-0.02320000000000011,0.02323066941701203,sequential_halving_peer,-0.0646000000000001
RouterBench replay,all shapes pooled,1000,beta025_cartel,verify_on_claim,-0.022786666666666622,0.0011620621051754087,sequential_halving_peer,-0.04125866666666678
RouterBench replay,all shapes pooled,100,beta025_cartel,verify_on_claim,-0.02235799999999999,0.0015930350949306664,verify_on_claim,-0.02235799999999999
bernoulli,specialist,10,beta025_random,flat_probe_argmax_online,-0.022017000000000064,0.003966074608732309,flat_probe_argmax_online,-0.022017000000000064
live,specialist,100,beta01_random,flat_probe_argmax_online,-0.02169999999999994,0.024840659776362625,sequential_halving,-0.05149999999999999
bernoulli,specialist,10,beta025_cartel,flat_probe_argmax_online,-0.02161299999999977,0.003968125755197488,flat_probe_argmax_online,-0.02161299999999977
bernoulli,specialist,10,beta05_random,flat_probe_argmax_online,-0.021525000000000016,0.003992006453409335,flat_probe_argmax_online,-0.021525000000000016
bernoulli,specialist,10,cartel,flat_probe_argmax_online,-0.021201999999999943,0.0039673732528981865,flat_probe_argmax_online,-0.021201999999999943
LLMRouterBench,20 models,20,cartel,mlp_router,-0.02080000000000015,0.02782552784764379,mlp_router,-0.02080000000000015
LLMRouterBench,20 models,20,beta025_cartel,mlp_router,-0.02080000000000004,0.02275820744808337,mlp_router,-0.02080000000000004
live,heavy_tail,1000,beta01_random,warm_start_bandit,-0.02069999999999994,0.012311072252245118,sequential_halving,-0.059699999999999975
live,specialist,100,beta025_random,flat_probe_argmax_online,-0.020499999999999963,0.021165390418381093,sequential_halving,-0.05030000000000001
RouterBench replay,all shapes pooled,10,beta025_random,linucb_honest,-0.020292999999999894,0.010177489334843396,linucb_honest,-0.020292999999999894
RouterBench replay,all shapes pooled,10,beta025_cartel,linucb_honest,-0.02027566666666658,0.010176133956265881,linucb_honest,-0.02027566666666658
RouterBench replay,all shapes pooled,10,beta05_random,linucb_honest,-0.0202753333333332,0.010175567587098897,linucb_honest,-0.0202753333333332
RouterBench replay,all shapes pooled,10,cartel,linucb_honest,-0.0202753333333332,0.010175567587098897,linucb_honest,-0.0202753333333332
bernoulli,specialist,100000,beta025_random,warm_start_bandit,-0.020157999999999898,0.002000114978726266,sequential_halving_peer,-0.06321199999999982
live,specialist,100,beta025_cartel,flat_probe_argmax_online,-0.020000000000000018,0.023678756466767842,sequential_halving,-0.049800000000000066
bernoulli,specialist,10000,beta025_random,warm_start_bandit,-0.01903799999999989,0.001355964022211279,sequential_halving_peer,-0.06425099999999984
live,heavy_tail,100,beta025_random,flat_probe_argmax_online,-0.018900000000000028,0.024101919010734375,sequential_halving,-0.06020000000000003
bernoulli,specialist,1000000,beta025_random,warm_start_bandit,-0.0181349999999999,0.0031027112198949492,sequential_halving_peer,-0.0590949999999999
bernoulli,specialist,10000000,beta025_random,warm_start_bandit,-0.01802999999999988,0.004158323888599716,sequential_halving_peer,-0.05954999999999988
live,bimodal,100,beta01_random,mlp_router,-0.016800000000000037,0.015556509891360568,sequential_halving,-0.028800000000000048
bernoulli,specialist,1000,beta025_random,warm_start_bandit,-0.016625000000000112,0.0014015800954860307,sequential_halving_peer,-0.06368999999999991
live,bimodal,100,beta025_cartel,mlp_router,-0.01649999999999996,0.015310756074162343,sequential_halving,-0.02849999999999997
live,heavy_tail,1000,beta025_cartel,warm_start_bandit,-0.016199999999999992,0.013827951990443108,sequential_halving,-0.06240000000000001
RouterEval,all_strong,10,beta05_random,knn_router_online,-0.01539999999999997,0.012045332083425423,knn_router_online,-0.01539999999999997
live,bimodal,100,beta025_random,mlp_router,-0.015000000000000124,0.01765573561197606,sequential_halving,-0.027000000000000135
RouterEval,all_strong,10,beta025_random,knn_router_online,-0.014799999999999924,0.011313708498984693,knn_router_online,-0.014799999999999924
bernoulli,specialist,1000,beta025_cartel,warm_start_bandit,-0.01426700000000003,0.0013908873766524921,sequential_halving_peer,-0.062085999999999975
RouterEval,all_strong,10,beta025_cartel,knn_router_online,-0.014000000000000012,0.010762899237658925,knn_router_online,-0.014000000000000012
live,heavy_tail,1000,beta0,warm_start_bandit,-0.014000000000000012,0.010678424582423164,sequential_halving_peer,-0.04379999999999995
RouterEval,all_strong,10,beta0,knn_router_online,-0.013600000000000056,0.010499523798725267,knn_router_online,-0.013600000000000056
