family,group,n,regime,rival,rival_name,gap,ci_lo,ci_hi,units,result
bernoulli,shapes pooled,100000,beta0,verify_on_claim,verify on claim,-0.04153799999999994,-0.04301259999999994,-0.040025799999999945,500,loss
bernoulli,shapes pooled,100000,beta0,midian,MIDIAN,0.02835400000000001,0.02664760000000001,0.03008435000000001,500,win
bernoulli,shapes pooled,100000,beta0,sequential_halving_peer,seq. halving (peer),-0.04862799999999994,-0.050141999999999944,-0.04703184999999996,500,loss
bernoulli,shapes pooled,100000,beta025_cartel,flat_probe_argmax_online,flat probe argmax (online),0.014722000000000008,0.012793850000000008,0.01658205000000001,500,win
bernoulli,shapes pooled,100000,beta025_cartel,warm_start_bandit,warm-start bandit,-0.005052000000000005,-0.006882400000000005,-0.0033539000000000043,500,loss
bernoulli,shapes pooled,100000,beta025_cartel,linucb_honest,LinUCB,0.34514599999999995,0.34296360000000004,0.34729245000000003,500,win
bernoulli,shapes pooled,100000,beta025_cartel,declared_argmax,declared argmax,0.08167000000000005,0.07929155000000003,0.08405830000000002,500,win
bernoulli,shapes pooled,100000,beta025_cartel,verify_on_claim,verify on claim,0.054758000000000036,0.05222600000000004,0.05706605000000005,500,win
bernoulli,shapes pooled,100000,beta025_cartel,midian,MIDIAN,0.01887600000000001,0.01695760000000001,0.02070630000000001,500,win
bernoulli,shapes pooled,100000,beta025_cartel,sequential_halving_peer,seq. halving (peer),-0.06368799999999995,-0.06545604999999996,-0.061943999999999944,500,loss
bernoulli,shapes pooled,100000,beta025_random,flat_probe_argmax_online,flat probe argmax (online),0.01498400000000001,0.01316575000000001,0.01684045000000001,500,win
bernoulli,shapes pooled,100000,beta025_random,warm_start_bandit,warm-start bandit,-0.020157999999999995,-0.021880149999999994,-0.0182798,500,loss
bernoulli,shapes pooled,100000,beta025_random,linucb_honest,LinUCB,0.345408,0.3431997500000001,0.34765435,500,win
bernoulli,shapes pooled,100000,beta025_random,declared_argmax,declared argmax,0.026600000000000023,0.023871650000000022,0.029472050000000024,500,win
bernoulli,shapes pooled,100000,beta025_random,verify_on_claim,verify on claim,0.0007620000000000069,-0.0015521499999999941,0.0032347500000000032,500,tie
bernoulli,shapes pooled,100000,beta025_random,midian,MIDIAN,0.018150000000000013,0.01624565000000001,0.020126050000000013,500,win
bernoulli,shapes pooled,100000,beta025_random,sequential_halving_peer,seq. halving (peer),-0.06321199999999995,-0.06482409999999995,-0.06152914999999995,500,loss
bernoulli,shapes pooled,100000,beta05_random,flat_probe_argmax_online,flat probe argmax (online),0.01954200000000001,0.017655850000000008,0.021434000000000012,500,win
bernoulli,shapes pooled,100000,beta05_random,warm_start_bandit,warm-start bandit,-0.013268,-0.015128699999999997,-0.011369150000000005,500,loss
bernoulli,shapes pooled,100000,beta05_random,linucb_honest,LinUCB,0.34996600000000005,0.34775980000000006,0.35223610000000005,500,win
bernoulli,shapes pooled,100000,beta05_random,declared_argmax,declared argmax,0.03588000000000002,0.033231550000000026,0.03873435000000003,500,win
bernoulli,shapes pooled,100000,beta05_random,verify_on_claim,verify on claim,0.009956000000000008,0.007605400000000008,0.012342050000000009,500,win
bernoulli,shapes pooled,100000,beta05_random,midian,MIDIAN,0.060102000000000044,0.05774995000000004,0.06250830000000003,500,win
