family,regime,dist,n,arm,shortlist,mean,ci_lo,ci_hi,seeds,rerun_outstanding
live,beta05_random,bimodal,100,adk,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta05_random,bimodal,100,autogen,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta05_random,bimodal,100,camel,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta05_random,bimodal,100,crewai,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta05_random,bimodal,100,langgraph,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta05_random,bimodal,100,llama,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta05_random,bimodal,100,maf,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta05_random,bimodal,100,magentic,tfidf,0.5606666666666666,0.5550049040828456,0.5663284292504877,9,False
live,beta05_random,bimodal,100,openai,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta05_random,bimodal,100,smol,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,beta05_random,bimodal,100,adk,embed,0.5638888888888888,0.5601941311745181,0.5675836466032594,9,False
live,beta05_random,bimodal,100,autogen,embed,0.5459,0.5417649197240092,0.5500350802759909,10,False
live,beta05_random,bimodal,100,camel,embed,0.5629000000000001,0.5570037676813447,0.5687962323186554,10,False
live,beta05_random,bimodal,100,crewai,embed,0.5502,0.5471767567084338,0.5532232432915662,5,False
live,beta05_random,bimodal,100,langgraph,embed,0.5668,0.5624035367749873,0.5711964632250126,10,False
live,beta05_random,bimodal,100,llama,embed,0.5197999999999999,0.5168342698107286,0.5227657301892713,10,False
live,beta05_random,bimodal,100,maf,embed,0.5378999999999999,0.5339070896161654,0.5418929103838345,10,False
live,beta05_random,bimodal,100,magentic,embed,0.5648,0.5610323010264147,0.5685676989735853,10,False
live,beta05_random,bimodal,100,openai,embed,0.5662,0.5626074150439181,0.569792584956082,10,False
live,beta05_random,bimodal,100,smol,embed,0.5568,0.5530678573327258,0.5605321426672741,10,False
live,beta05_random,bimodal,100,autogen,sota,0.5538000000000001,0.5496159031241299,0.5579840968758703,10,False
live,beta05_random,bimodal,100,camel,sota,0.5592222222222222,0.5525539353820573,0.565890509062387,9,False
live,beta05_random,bimodal,100,langgraph,sota,0.5703999999999999,0.5671469672269983,0.5736530327730015,10,False
live,beta05_random,bimodal,100,llama,sota,0.5330999999999999,0.5294623878405988,0.536737612159401,10,False
live,beta05_random,bimodal,100,maf,sota,0.5399,0.5365718373437186,0.5432281626562815,10,False
live,beta05_random,bimodal,100,magentic,sota,0.5639000000000001,0.5602930622406258,0.5675069377593743,10,False
live,beta05_random,bimodal,100,openai,sota,0.5664,0.5628434723551069,0.5699565276448931,10,False
live,beta05_random,bimodal,100,smol,sota,0.5639000000000001,0.560130384635006,0.5676696153649942,10,False
live,beta05_random,bimodal,100,autogen,va_cohort,0.5636000000000001,0.5590266472303621,0.5681733527696381,10,False
live,beta05_random,bimodal,100,camel,va_cohort,0.5682000000000001,0.5637011112483193,0.572698888751681,10,False
live,beta05_random,bimodal,100,langgraph,va_cohort,0.5556,0.5470271747169715,0.5641728252830285,10,False
live,beta05_random,bimodal,100,llama,va_cohort,0.48580000000000007,0.4757448189142778,0.49585518108572235,10,False
live,beta05_random,bimodal,100,maf,va_cohort,0.5271000000000001,0.5203629548184849,0.5338370451815153,10,False
live,beta05_random,bimodal,100,magentic,va_cohort,0.5498999999999999,0.5445077215699978,0.5552922784300021,10,False
live,beta05_random,bimodal,100,openai,va_cohort,0.5629000000000001,0.5560436161134313,0.5697563838865688,10,False
live,beta05_random,bimodal,100,smol,va_cohort,0.5594,0.5526009804628412,0.5661990195371588,10,False
live,cartel,bimodal,100,oracle,-,0.5733999999999999,0.5699096959699443,0.5768903040300555,10,False
live,cartel,bimodal,100,"MIDIAN, no framework",-,0.5478000000000001,0.5429884398464624,0.5526115601535377,10,False
live,cartel,bimodal,100,random,-,0.24530000000000002,0.23808882040778967,0.25251117959221037,10,False
live,cartel,bimodal,100,adk,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,cartel,bimodal,100,autogen,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,cartel,bimodal,100,camel,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,cartel,bimodal,100,crewai,tfidf,0.5676666666666667,0.561831904936789,0.5735014283965443,6,False
live,cartel,bimodal,100,langgraph,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,cartel,bimodal,100,llama,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,cartel,bimodal,100,maf,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,cartel,bimodal,100,magentic,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,cartel,bimodal,100,openai,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,cartel,bimodal,100,smol,tfidf,0.5614,0.5562831433260036,0.5665168566739964,10,False
live,cartel,bimodal,100,adk,embed,0.561,0.5563095842401766,0.5656904157598235,7,False
live,cartel,bimodal,100,autogen,embed,0.5458000000000001,0.541715340351456,0.5498846596485442,10,False
live,cartel,bimodal,100,camel,embed,0.5597,0.5533420653248611,0.5660579346751389,10,False
live,cartel,bimodal,100,crewai,embed,0.54425,0.5406822042285654,0.5478177957714346,4,False
live,cartel,bimodal,100,langgraph,embed,0.5698,0.5664111293260963,0.5731888706739037,10,False
live,cartel,bimodal,100,llama,embed,0.5193,0.5163370810188449,0.5222629189811551,10,False
live,cartel,bimodal,100,maf,embed,0.5376000000000001,0.5338134741810233,0.5413865258189768,10,False
live,cartel,bimodal,100,magentic,embed,0.5576,0.5531025933398606,0.5620974066601394,10,False
live,cartel,bimodal,100,openai,embed,0.5620999999999999,0.5581603158615047,0.5660396841384951,10,False
live,cartel,bimodal,100,smol,embed,0.5569999999999999,0.5532702398051468,0.5607297601948531,10,False
live,cartel,bimodal,100,autogen,sota,0.5536000000000001,0.5496077853542455,0.5575922146457547,10,False
live,cartel,bimodal,100,camel,sota,0.5608000000000001,0.5541821789420116,0.5674178210579885,10,False
live,cartel,bimodal,100,langgraph,sota,0.5692999999999999,0.5653054203391762,0.5732945796608236,10,False
live,cartel,bimodal,100,llama,sota,0.533,0.5292911517211464,0.5367088482788537,10,False
live,cartel,bimodal,100,maf,sota,0.5411,0.5375333333333334,0.5446666666666666,10,False
live,cartel,bimodal,100,magentic,sota,0.5595,0.5554661157401058,0.5635338842598941,10,False
live,cartel,bimodal,100,openai,sota,0.5624,0.5586252299554955,0.5661747700445046,10,False
live,cartel,bimodal,100,smol,sota,0.5639000000000001,0.560130384635006,0.5676696153649942,10,False
live,cartel,bimodal,100,autogen,va_cohort,0.5635,0.5592856066734213,0.5677143933265787,10,False
live,cartel,bimodal,100,camel,va_cohort,0.5695,0.5659339564407222,0.5730660435592778,10,False
live,cartel,bimodal,100,crewai,va_cohort,0.532,0.515,0.549,2,False
live,cartel,bimodal,100,langgraph,va_cohort,0.5532000000000001,0.549085526900211,0.5573144730997893,10,False
live,cartel,bimodal,100,llama,va_cohort,0.47780000000000006,0.4655355074390427,0.4900644925609574,10,False
live,cartel,bimodal,100,maf,va_cohort,0.5294,0.5232406349533594,0.5355593650466406,10,False
live,cartel,bimodal,100,magentic,va_cohort,0.5339,0.5297568664569489,0.5380431335430512,10,False
live,cartel,bimodal,100,openai,va_cohort,0.5652,0.55951805979929,0.57088194020071,10,False
live,cartel,bimodal,100,smol,va_cohort,0.5664,0.5617807167463147,0.5710192832536853,10,False
live,beta0,heavy_tail,100,oracle,-,0.7292,0.7226990598970439,0.7357009401029561,10,False
live,beta0,heavy_tail,100,"MIDIAN, no framework",-,0.6538,0.641594536742371,0.6660054632576291,10,False
live,beta0,heavy_tail,100,random,-,0.2741,0.2709608210556828,0.2772391789443172,10,False
live,beta0,heavy_tail,100,adk,tfidf,0.5557777777777778,0.5472260109399025,0.5643295446156531,9,False
live,beta0,heavy_tail,100,autogen,tfidf,0.5589000000000001,0.5528899158815279,0.5649100841184722,10,False
live,beta0,heavy_tail,100,camel,tfidf,0.5570999999999999,0.5502973044558302,0.5639026955441696,10,False
live,beta0,heavy_tail,100,crewai,tfidf,0.5653,0.5604396159273847,0.5701603840726154,10,False
live,beta0,heavy_tail,100,langgraph,tfidf,0.5429999999999999,0.5340644281411626,0.5519355718588372,10,False
live,beta0,heavy_tail,100,llama,tfidf,0.5322000000000001,0.5270064142123835,0.5373935857876168,10,False
live,beta0,heavy_tail,100,maf,tfidf,0.554,0.5493001182047962,0.5586998817952039,10,False
live,beta0,heavy_tail,100,magentic,tfidf,0.5718,0.5662626520587719,0.577337347941228,10,False
live,beta0,heavy_tail,100,openai,tfidf,0.5457000000000001,0.5399592102749999,0.5514407897250002,10,False
live,beta0,heavy_tail,100,smol,tfidf,0.5653999999999999,0.5605921360714392,0.5702078639285606,10,False
live,beta0,heavy_tail,100,adk,embed,0.6615000000000001,0.6545489808900662,0.668451019109934,6,False
live,beta0,heavy_tail,100,autogen,embed,0.6628000000000001,0.6575468527951756,0.6680531472048246,10,False
live,beta0,heavy_tail,100,camel,embed,0.6699999999999999,0.6622311161962894,0.6777688838037105,10,False
live,beta0,heavy_tail,100,crewai,embed,0.6353333333333333,0.6133914910122235,0.6572751756544432,3,False
live,beta0,heavy_tail,100,langgraph,embed,0.6449,0.6384270648938145,0.6513729351061855,10,False
live,beta0,heavy_tail,100,llama,embed,0.5936999999999999,0.5867333333333332,0.6006666666666666,10,False
live,beta0,heavy_tail,100,maf,embed,0.6624000000000001,0.6572377438179718,0.6675622561820284,10,False
live,beta0,heavy_tail,100,magentic,embed,0.6664000000000001,0.6614779408103248,0.6713220591896754,10,False
live,beta0,heavy_tail,100,openai,embed,0.6549000000000001,0.6502921564455572,0.6595078435544431,10,False
live,beta0,heavy_tail,100,smol,embed,0.6658999999999999,0.6607501348453467,0.6710498651546531,10,False
live,beta0,heavy_tail,100,autogen,sota,0.6266999999999999,0.6203753568392271,0.6330246431607728,10,False
live,beta0,heavy_tail,100,camel,sota,0.642,0.633212382449024,0.650787617550976,10,False
live,beta0,heavy_tail,100,langgraph,sota,0.6182000000000001,0.6082146774380262,0.628185322561974,10,False
live,beta0,heavy_tail,100,llama,sota,0.6209,0.6158503575484111,0.6259496424515889,10,False
live,beta0,heavy_tail,100,maf,sota,0.6285999999999999,0.6235553108233619,0.633644689176638,10,False
live,beta0,heavy_tail,100,magentic,sota,0.6367999999999998,0.6333980397807537,0.6402019602192459,10,False
live,beta0,heavy_tail,100,openai,sota,0.5884,0.5793088565686769,0.5974911434313231,10,False
live,beta0,heavy_tail,100,smol,sota,0.6011,0.5936606899961533,0.6085393100038466,10,False
live,beta0,heavy_tail,100,autogen,va_cohort,0.6494,0.6316697997755242,0.6671302002244758,10,False
live,beta0,heavy_tail,100,camel,va_cohort,0.6566000000000001,0.6420648319200943,0.6711351680799058,10,False
live,beta0,heavy_tail,100,crewai,va_cohort,0.637,0.615,0.659,2,False
live,beta0,heavy_tail,100,langgraph,va_cohort,0.6460999999999999,0.6308681255257272,0.6613318744742726,10,False
