family,regime,dist,n,arm,shortlist,mean,ci_lo,ci_hi,seeds
routereval,cartel,strong_to_weak,10,autogen,va_cohort,0.5900000000000001,0.5724,0.6092,5
routereval,cartel,strong_to_weak,10,crewai,va_cohort,0.6144000000000001,0.579,0.6502000000000001,5
routereval,cartel,strong_to_weak,10,langgraph,va_cohort,0.5506,0.5258,0.5731999999999999,5
routereval,cartel,strong_to_weak,10,llama,va_cohort,0.5488000000000001,0.5294,0.5681999999999998,5
routereval,cartel,strong_to_weak,10,maf,va_cohort,0.5338,0.5166,0.5524,5
routereval,cartel,strong_to_weak,10,openai,va_cohort,0.5598,0.5338,0.5798,5
routereval,cartel,strong_to_weak,10,smol,va_cohort,0.5372,0.5096,0.5648,5
routereval,beta0,all_strong,100,oracle,-,0.9014,0.8901899999999999,0.9126,5
routereval,beta0,all_strong,100,MIDIAN-VA (whole population),-,0.8310000000000001,0.8244,0.8364,5
routereval,beta0,all_strong,100,adk,tfidf,0.8375999999999999,0.8231999999999999,0.8532,5
routereval,beta0,all_strong,100,autogen,tfidf,0.8268000000000001,0.8192,0.8343999999999999,5
routereval,beta0,all_strong,100,langgraph,tfidf,0.8156000000000001,0.8012,0.8324,5
routereval,beta0,all_strong,100,maf,tfidf,0.8304,0.8160000000000001,0.8394,5
routereval,beta0,all_strong,100,openai,tfidf,0.8223999999999998,0.8182,0.8267999999999999,5
routereval,beta0,all_strong,100,smol,tfidf,0.8104000000000001,0.797,0.8238,5
routereval,beta0,all_strong,100,adk,embed,0.8506,0.8308000000000002,0.8638,5
routereval,beta0,all_strong,100,autogen,embed,0.8140000000000001,0.7912000000000001,0.842,5
routereval,beta0,all_strong,100,crewai,embed,0.8506,0.8308000000000002,0.8638,5
routereval,beta0,all_strong,100,langgraph,embed,0.8366,0.8224,0.85,5
routereval,beta0,all_strong,100,llama,embed,0.8251999999999999,0.8198000000000001,0.831005,5
routereval,beta0,all_strong,100,maf,embed,0.8168,0.806,0.833,5
routereval,beta0,all_strong,100,openai,embed,0.82,0.8039999999999999,0.836,5
routereval,beta0,all_strong,100,smol,embed,0.8048,0.7828,0.8305999999999999,5
routereval,beta0,all_strong,100,adk,va_cohort,0.835,0.8262,0.8462,5
routereval,beta0,all_strong,100,autogen,va_cohort,0.8286,0.8154,0.8452,5
routereval,beta0,all_strong,100,crewai,va_cohort,0.8402,0.8326,0.8510099999999999,5
